fid,iid,rep,high_level_category,ela_distr.skewness,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_distr.costs_runtime,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,ela_meta.costs_runtime,ela_level.mmce_lda_10,ela_level.mmce_qda_10,ela_level.lda_qda_10,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_level.lda_qda_25,ela_level.mmce_lda_50,ela_level.mmce_qda_50,ela_level.lda_qda_50,ela_level.costs_runtime,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,disp.costs_runtime,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ratio,ic.m0,ic.costs_runtime,nbc.nn_nb.sd_ratio,nbc.nn_nb.mean_ratio,nbc.nn_nb.cor,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,nbc.costs_runtime,BFGS,DE,MLSL,Non-elitist,PSO,Same
1,1.0,0.0,1,2.5021187934787283,7.728004728877551,3,0.003612,0.6691764112278054,100.5381395128542,0.3800254175800577,5.799774559715399,15.261543811062571,0.8622415243902514,0.999999999999992,1.000000227217075,0.999999999999998,0.01306,0.105,0.1733333333333333,0.6057692307692308,0.2954166666666666,0.08,3.692708333333333,0.2045833333333333,0.0574999999999999,3.557971014492754,0.176345,0.1093212917655192,0.1280311641070208,0.1258761024416015,0.1483366263296038,0.1271093366202562,0.1500924669894915,0.1435750555041003,0.1641667295885095,-3.1725556147047635,-3.1059119305135234,-3.113588158679136,-3.0335848303057213,-2.75277130854074,-2.6802910947921843,-2.7008445777146317,-2.6359061243751163,0.002331,0.7391193078817028,0.9059059059059056,0.3503842245290676,-0.115115115115115,0.5866666666666667,0.17482,0.96016238523875,0.9297450472556013,0.9746083991380426,0.1504673980189489,-0.256961252417271,0.014506,1,0,1,1,0,1
1,1.0,1.0,1,2.1227790514977527,4.150848844523737,3,0.003411,0.6853632569562781,101.82539322140616,1.1726314729136431,4.710304357705131,4.016866736487479,0.7993099321852167,0.9999999999999832,1.000000138661301,0.999999999999992,0.013266,0.105,0.0929166666666666,1.1300448430493273,0.2829166666666666,0.0533333333333333,5.3046875,0.2308333333333333,0.0904166666666666,2.55299539170507,0.17665,0.0770114436604089,0.1038982164209315,0.1441278935741553,0.216656183188395,0.0876015246000036,0.1192008506593509,0.1572159338089381,0.2359357473582377,-3.024982934818813,-2.9368648013768555,-2.805016918728787,-2.567314255063313,-2.700817413584728,-2.6072793242743395,-2.494749764747988,-2.261728942201256,0.002257,0.7477230310082807,0.7657657657657654,0.305129701718287,0.0050050050050049,0.4666666666666667,0.174826,0.9461422945716614,0.9393743329490974,0.9669588627536552,0.1264897121494707,-0.2331970877602385,0.012726,1,0,1,1,0,1
1,1.0,2.0,1,2.84892717893548,8.980844420060247,3,0.003393,0.6097698798938658,98.59985274873492,2.3769470893182616,4.194169628840891,1.764519558592207,0.8457359170171759,0.9999999999999918,1.0000002358911404,0.9999999999999978,0.012907,0.105,0.0729166666666666,1.4400000000000004,0.2625,0.0795833333333333,3.298429319371728,0.31,0.0574999999999999,5.391304347826087,0.176451,0.0573591428765012,0.0819412574886687,0.1142156355569026,0.1810735413324531,0.0642039228193877,0.0962650507467874,0.1397957895045125,0.2133804529901344,-2.8058096268212367,-2.732639942624739,-2.636573917054987,-2.437568586194848,-2.353138288496384,-2.2725178739231096,-2.163056154008712,-1.9780213015269363,0.002398,0.7637663488652477,0.8858858858858855,0.3345989120549975,-0.1351351351351351,0.4866666666666667,0.216482,0.9832030406961698,0.9586733877733372,0.9903719185681692,0.1223019459987263,-0.2921565285833568,0.013015,1,0,1,1,0,1
1,1.0,3.0,1,2.6048225577822963,6.891348373586526,3,0.003386,0.4924233326668634,98.07876993829824,2.0643543375480684,3.901938418680474,1.890149548315912,0.7363528932062544,0.999999999999986,1.0000004147924944,0.9999999999999964,0.012293,0.1362499999999999,0.04,3.40625,0.2879166666666666,0.1116666666666666,2.578358208955224,0.315,0.0391666666666666,8.042553191489363,0.17757,0.1108175037474318,0.0885923153448245,0.1295380846197538,0.1831778542967903,0.1420095890454531,0.1125606840525528,0.1608326026596019,0.2291809998885108,-2.348792941240584,-2.4075012107553246,-2.299342161008014,-2.1576516611183183,-1.7837649959897972,-1.8449893700922104,-1.7446318863707706,-1.602535334996384,0.002262,0.7681822445745271,0.8458458458458454,0.3755691612228777,-0.2152152152152151,0.56,0.181012,0.9842143762815684,0.964489801596794,0.9946767478579296,0.112465365849505,-0.2993099780267565,0.014558,1,0,1,1,0,1
1,1.0,4.0,1,4.458154737968157,23.921164543182822,4,0.003554,0.6612873751782544,102.39107322309113,1.9448374880664725,3.748343556327191,1.9273299590978867,0.8880573970594337,0.9999999999999828,1.0000004302498782,0.999999999999998,0.012566,0.105,0.06,1.7500000000000002,0.2820833333333333,0.0795833333333333,3.5445026178010464,0.21875,0.0391666666666666,5.585106382978724,0.191515,0.0483190024920722,0.0554867626906535,0.0781044086192635,0.1092744120481248,0.0647760457625535,0.0718869543445592,0.1025586873074968,0.1383090835457353,-2.1717180738539263,-2.155361380368324,-2.103748339254952,-2.0326189797470846,-1.6563673809023536,-1.6437733097491865,-1.5894508581424147,-1.5261336281730058,0.002384,0.7056984095872925,0.6856856856856854,0.0636507908129557,-0.4554554554554552,0.4933333333333333,0.178475,0.9885990140247304,0.9699836419942768,0.9975245105926148,0.1095628287680406,-0.2463752496567675,0.01287,1,0,1,1,0,1
1,1.0,5.0,1,3.7766107191471816,16.769332028598175,3,0.003671,0.6291600035145379,103.0895609150436,1.720321107737812,3.802290880134525,2.2102216051597843,0.8119732236052088,0.9999999999999878,1.0000002390999734,0.9999999999999976,0.012357,0.1179166666666666,0.0733333333333333,1.6079545454545454,0.3025,0.0929166666666666,3.255605381165919,0.3283333333333333,0.0641666666666666,5.116883116883118,0.184435,0.0683376104347488,0.0856922421456637,0.1057301723935068,0.1493944051201675,0.0789060835669706,0.1072417310253936,0.1274359137554165,0.1827324606116683,-2.399758301476542,-2.3550565704806496,-2.30344325003835,-2.190973748063173,-1.9243679267724412,-1.8651685224766417,-1.822978429957598,-1.7074517726504683,0.002488,0.7519387537398492,0.7057057057057055,0.1459365799155757,-0.175175175175175,0.5066666666666667,0.178451,0.9522337002769374,0.944855465371275,0.9875340324868552,0.1105757927790504,-0.2341859009190117,0.013029,1,0,1,1,0,1
1,1.0,6.0,1,2.000379918502029,3.5192846790356507,1,0.003398,0.7251992358695794,103.25062771304836,0.2106308024870737,5.618382919049715,26.674080204363797,0.7721376432063242,0.999999999999982,1.000000374747695,0.999999999999994,0.014754,0.105,0.0533333333333333,1.96875,0.2883333333333333,0.0666666666666666,4.324999999999999,0.18375,0.0699999999999999,2.6250000000000004,0.176318,0.0680309226612407,0.0715619869462606,0.0937748447722086,0.1502045806612884,0.0923856138900607,0.0862434236507716,0.1100397343115751,0.1653674268605773,-2.993930569362463,-2.982587101470274,-2.9112287745739467,-2.729949464554569,-2.596625248073075,-2.6141976516156893,-2.546117967094968,-2.387829066446184,0.002354,0.7764343319496919,0.8858858858858855,0.3195247505759213,-0.175175175175175,0.5333333333333333,0.175637,0.967701319756656,0.9426317552979684,0.9757095078542212,0.1476097791252886,-0.281606872993392,0.013299,1,0,1,1,0,1
1,1.0,7.0,1,2.07721391175433,4.134409282299179,3,0.003579,0.2879709112647112,95.97971072658768,0.1613117998480921,2.6743012749283324,16.578460332391867,0.455763271558722,0.999999999999978,1.000000416832383,0.999999999999997,0.013095,0.1175,0.0933333333333333,1.2589285714285714,0.28125,0.0733333333333333,3.835227272727273,0.25,0.0574999999999999,4.347826086956523,0.177721,0.066310228125484,0.063334560175666,0.0807777981729746,0.1092419815897241,0.0805031327292182,0.0736962962663458,0.0978166851275645,0.1316005603381398,-2.220173188192593,-2.2272488769257857,-2.1857714928058583,-2.1180879658472307,-1.8062580591092408,-1.8196293969090045,-1.772247346659349,-1.705882360503206,0.002262,0.714016807569376,0.7257257257257255,0.1969743354522945,-0.2552552552552551,0.5133333333333333,0.175262,0.9840322887546216,0.9672323532335274,0.9909178263005824,0.1138108612689331,-0.2901239540850231,0.013188,1,0,1,1,0,1
1,1.0,8.0,1,3.5151747673046785,16.353625801300392,3,0.003515,0.621359622657802,97.35864803646628,1.5277996814256265,5.068524570154507,3.3175321554098933,0.862561883340566,0.9999999999999912,1.0000003081850288,0.9999999999999986,0.012654,0.105,0.04,2.625,0.2816666666666666,0.0795833333333333,3.5392670157068054,0.2825,0.06375,4.431372549019608,0.180179,0.0594404383952036,0.0770400586494957,0.0845194467579131,0.1293922719416009,0.0701302913443106,0.1020451532009272,0.1112732156087211,0.1695515537481945,-2.5933025368924243,-2.544777018980592,-2.524154915981748,-2.400431957716523,-1.9220837065196552,-1.8561142105790769,-1.837039378662668,-1.7165753575872145,0.002256,0.7760522986807402,0.9459459459459456,0.2015135733815558,-0.1351351351351351,0.5,0.175932,0.960689421115686,0.95334837760554,0.9862910422813328,0.1098924402154594,-0.2462028436976236,0.012953,1,0,1,1,0,1
1,1.0,9.0,1,3.0580646507884333,11.094348592416674,4,0.003449,0.6920896122032303,99.54301930312684,0.4723133089754607,5.319220359361582,11.262059015232929,0.8823169653394525,0.9999999999999872,1.0000001667349174,0.999999999999997,0.01252,0.11125,0.08625,1.289855072463768,0.2887499999999999,0.0466666666666666,6.187499999999999,0.2029166666666667,0.0658333333333333,3.0822784810126587,0.17827,0.1079710158012122,0.1038799659157573,0.1314267742245058,0.1794767558092563,0.1304935786300206,0.1308249637266641,0.1563092612830948,0.2046796016745974,-2.674540811374097,-2.6868068700715555,-2.6042141916385546,-2.4601475312378085,-2.245731748502604,-2.244875858293834,-2.1790558773205,-2.0541265997058225,0.00228,0.7604779051965976,0.7457457457457454,0.3345989120549975,-0.075075075075075,0.5266666666666666,0.172313,0.9653571640018582,0.9378413929770716,0.986801900308506,0.1387916716924768,-0.2570319852897834,0.013212,1,0,1,1,0,1
